,N,mean,std,min,max
index,1440.0,249.68,265.469,0.0,2706.0
index_log,1098.0,5.621,0.532,4.234,7.903
index_z,1440.0,0.269,0.933,-0.794,7.718
rel_week,1440.0,0.031,10.885,-20.0,20.0
