,N,mean,std,min,max
y,44365.0,4.697,0.851,2.079,8.538
index,45439.0,143.345,114.844,0.0,5105.0
index_log,44365.0,4.697,0.851,2.079,8.538
treated_it,45439.0,0.651,0.477,0.0,1.0
ever_treated,45439.0,0.909,0.287,0.0,1.0
